id,name,picture_file_name,food_group,food_group_id,food_subgroup,food_subgroup_id,status
1,Poireau,1.jpg,Fruits et légumes,1,Légumes,1,0
2,Ail,2.jpg,Herbes et épices,2,Herbes,3,0
3,Asperge,3.jpg,Fruits et légumes,1,Légumes,1,0
4,Chou fleur,4.jpg,Fruits et légumes,1,Légumes,1,0
5,Choux de Bruxelles,5.jpg,Fruits et légumes,1,Légumes,1,0
6,Brocoli,6.jpg,Fruits et légumes,1,Légumes,1,0
7,Chou chinois,7.jpg,Fruits et légumes,1,Légumes,1,0
8,Navet,8.jpg,Fruits et légumes,1,Légumes,1,0
9,Pois chiches,9.jpg,Épicerie salée,3,Légumes secs,6,0
10,Citron,10.jpg,Fruits et légumes,1,Fruits,2,0
11,Safran,11.jpg,Herbes et épices,2,Épices,4,0
12,Concombre,12.jpg,Fruits et légumes,1,Légumes,1,0
13,Roquette,13.jpg,Fruits et légumes,1,Légumes,1,0
14,Lentilles,14.jpg,Épicerie salée,3,Légumes secs,6,0
15,Menthe,15.jpg,Herbes et épices,2,Herbes,3,0
16,Muscade,16.jpg,Herbes et épices,2,Épices,4,0
17,Basilic,17.jpg,Herbes et épices,2,Herbes,3,0
18,Olives noires,18.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
19,Riz,19.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
20,Avocat,20.jpg,Fruits et légumes,1,Fruits,2,0
21,Persil,21.jpg,Herbes et épices,2,Herbes,3,0
22,Poivre,22.jpg,Herbes et épices,2,Épices,4,0
23,Petits pois,23.jpg,Fruits et légumes,1,Légumes,1,0
24,Abricot sec,24.jpg,Fruits et légumes,1,Fruits,2,0
25,Radis,25.jpg,Fruits et légumes,1,Légumes,1,0
26,Tomate,26.jpg,Fruits et légumes,1,Légumes,1,0
27,Aubergine,27.jpg,Fruits et légumes,1,Légumes,1,0
28,Pomme de terre,28.jpg,Fruits et légumes,1,Légumes,1,0
29,Thym,29.jpg,Herbes et épices,2,Herbes,3,0
30,Blé,30.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
31,Épi de maïs,31.jpg,Fruits et légumes,1,Légumes,1,0
32,Céleri branche,32.jpg,Fruits et légumes,1,Légumes,1,0
33,Carotte,33.jpg,Fruits et légumes,1,Légumes,1,0
34,Spaghettis,34.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
35,Moules,35.jpg,Produits de la mer,7,Mollusques et crustacés,22,0
36,Potiron,36.jpg,Fruits et légumes,1,Légumes,1,0
37,Poulet,37.jpg,Viande,6,Volailles,20,0
38,Topinambour,38.jpg,Fruits et légumes,1,Légumes,1,0
39,Moutarde,39.jpg,Herbes et épices,2,Épices,4,0
40,Épinards,40.jpg,Fruits et légumes,1,Légumes,1,0
41,Saumon,41.jpg,Produits de la mer,7,Poissons,21,0
42,Sardine,42.jpg,Produits de la mer,7,Poissons,21,0
43,Agneau,43.jpg,Viande,6,Boucherie,19,0
44,Bœuf,44.jpg,Viande,6,Boucherie,19,0
45,Patate douce,45.jpg,Fruits et légumes,1,Légumes,1,0
46,Thon en boite,46.jpg,Épicerie salée,3,Conserves et bocaux,7,0
47,Cabillaud,47.jpg,Produits de la mer,7,Poissons,21,0
48,Crevettes,48.jpg,Produits de la mer,7,Mollusques et crustacés,22,0
49,Lardons,49.jpg,Frais,5,Charcuterie,17,0
50,Langoustine,50.jpg,Produits de la mer,7,Mollusques et crustacés,22,0
51,Cidre,51.jpg,Boissons,10,Vins,30,0
52,Emmental,52.jpg,Frais,5,Fromages,16,0
53,Lait,53.jpg,Frais,5,Lait et œufs,14,0
54,Oeufs,54.jpg,Frais,5,Lait et œufs,14,0
55,Miel liquide,55.jpg,Épicerie sucrée,4,Miels,12,0
56,Vinaigre,56.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
57,Pâte feuilletée,57.jpg,Frais,5,Traiteur,18,0
58,Sel,58.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
59,Beurre,59.jpg,Frais,5,Beurre et crème,15,0
60,Sucre,60.jpg,Épicerie sucrée,4,"Desserts, sucres et farines",13,0
61,Chipolatas,61.jpg,Viande,6,Boucherie,19,0
62,Curry,62.jpg,Herbes et épices,2,Épices,4,0
63,Sauce soja,63.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
64,Tortilla,64.jpg,Épicerie salée,3,Cuisine du monde,9,0
65,Salade,65.jpg,Fruits et légumes,1,Légumes,1,0
66,Semoule,66.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
67,Ketchup,67.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
68,Farine,68.jpg,Épicerie sucrée,4,"Desserts, sucres et farines",13,0
69,Farce de porc,69.jpg,Viande,6,Boucherie,19,0
70,Champignons,70.jpg,Fruits et légumes,1,Légumes,1,0
71,Courgette,71.jpg,Fruits et légumes,1,Légumes,1,0
72,Poivron,72.jpg,Fruits et légumes,1,Légumes,1,0
73,Haricot vert,73.jpg,Fruits et légumes,1,Légumes,1,0
74,Huile d'olive,74.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
75,Vin blanc,75.jpg,Boissons,10,Vins,30,0
76,Cheddar,76.jpg,Frais,5,Fromages,16,0
77,Parmesan râpé,77.jpg,Frais,5,Fromages,16,0
78,Huile,78.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
79,Gruyère râpé,79.jpg,Frais,5,Fromages,16,0
80,Crème fraîche,80.jpg,Frais,5,Beurre et crème,15,0
81,Feta,81.jpg,Frais,5,Fromages,16,0
82,Oignon,82.jpg,Fruits et légumes,1,Légumes,1,0
83,Pain de mie,83.jpg,Boulangerie,9,Pains de mie et pains grillés,28,0
84,Jambon blanc,84.jpg,Frais,5,Charcuterie,17,0
85,Jambon de Bayonne,85.jpg,Frais,5,Charcuterie,17,0
86,Pâtes,86.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
87,Steaks hachés,87.jpg,Surgelés,8,Viandes,24,0
88,Sauce tomate,88.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
89,Pruneaux,89.jpg,Fruits et légumes,1,Fruits,2,0
90,Épices,90.jpg,Herbes et épices,2,Épices,4,0
91,Bouillon cube,91.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
92,Laurier,92.jpg,Herbes et épices,2,Herbes,3,0
93,Coquillettes,93.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
94,Chorizo,94.jpg,Frais,5,Charcuterie,17,0
95,Reblochon,95.jpg,Frais,5,Fromages,16,0
96,Purée en flocons,96.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
97,Escalopes ou filets de poulet,97.jpg,Viande,6,Volailles,20,0
98,Échine de porc,98.jpg,Viande,6,Boucherie,19,0
99,Nouilles asiatiques,99.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
100,Vinaigre balsamique,100.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
101,Saucisses knackis,101.jpg,Frais,5,Charcuterie,17,0
102,Mayonnaise,102.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
103,Fromage frais,103.jpg,Frais,5,Fromages,16,0
104,Pois cassés,104.jpg,Épicerie salée,3,Légumes secs,6,0
105,Merguez,105.jpg,Viande,6,Boucherie,19,0
106,Poisson pané,106.jpg,Surgelés,8,Poissons,25,0
107,Saumon fumé,107.jpg,Produits de la mer,7,Traiteur,23,0
108,Pesto,108.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
109,Gnocchis,109.jpg,Frais,5,Traiteur,18,0
110,Magret de canard,110.jpg,Viande,6,Volailles,20,0
111,Frites,111.jpg,Surgelés,8,Légumes et frites,26,0
112,Foies de volaille,112.jpg,Viande,6,Volailles,20,0
113,Boudin,113.jpg,Frais,5,Charcuterie,17,0
114,Cuisses de poulet,114.jpg,Viande,6,Volailles,20,0
115,Tomates pelées,115.jpg,Épicerie salée,3,Conserves et bocaux,7,0
116,Buns,116.jpg,Boulangerie,9,Pains de mie et pains grillés,28,0
117,Cornichons,117.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
118,Filets de rouget,118.jpg,Produits de la mer,7,Poissons,21,0
119,Noix de saint jacques,119.jpg,Produits de la mer,7,Mollusques et crustacés,22,0
120,Tranches de magret fumé,120.jpg,Viande,6,Volailles,20,0
121,Pignons de pin,121.jpg,Fruits et légumes,1,Fruits,2,0
122,Gésiers de canard,122.jpg,Épicerie salée,3,Conserves et bocaux,7,0
123,Foie gras de canard,123.jpg,Épicerie salée,3,Conserves et bocaux,7,0
124,Pain de campagne,124.jpg,Boulangerie,9,Pains,27,0
125,Paprika,125.jpg,Herbes et épices,2,Épices,4,0
126,Fromage à raclette,126.jpg,Frais,5,Fromages,16,0
127,Charcuterie,127.jpg,Frais,5,Charcuterie,17,0
128,Piment d'Espelette,128.jpg,Herbes et épices,2,Épices,4,0
129,Raisins secs,129.jpg,Fruits et légumes,1,Fruits,2,0
130,Galettes de sarrasin,130.jpg,Boulangerie,9,Crêpes et galettes,29,0
131,Lard fumé,131.jpg,Frais,5,Charcuterie,17,0
132,Fromage fondu,132.jpg,Frais,5,Fromages,16,0
133,Dés de jambon,133.jpg,Frais,5,Charcuterie,17,0
134,Olives vertes,134.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
135,Levure,135.jpg,Épicerie sucrée,4,"Desserts, sucres et farines",13,0
136,Croûtons,136.jpg,Épicerie salée,3,Soupes et croûtons,10,0
137,Chapelure,137.jpg,Épicerie salée,3,Fécules et chapelure,11,0
138,Riz rond,138.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
139,Fromage de chèvre,139.jpg,Frais,5,Fromages,16,0
